caseId,stratum,machineDecision,machineConfidence,evidenceStatus,evidenceLabel,evidenceType,evidence,reviewer,source,sourceId,sourceName,sourceCategory,candidateId,candidateName,candidateCategory,distanceMeters,humanLabel,humanReviewer,humanEvidenceReference,humanNotes
DUPLICATE:overture:27aef9c0-0525-4b05-b74f-81fb54819c1f:overture:c7268223-18c9-41c4-9cca-e18e84f23fa3,SOURCE_DUPLICATE,SOURCE_DUPLICATE,0.98,EVIDENCE_SUPPORTED,DUPLICATE_SAME_PLACE,EXACT_PHONE_LINKAGE,"[""phone=+84931967420""]",STAGE4I_STRUCTURED_EVIDENCE_V1,overture,overture:27aef9c0-0525-4b05-b74f-81fb54819c1f,Handmade Sinh Viên,souvenir,overture:c7268223-18c9-41c4-9cca-e18e84f23fa3,Xưởng Gối In Hình Theo Yêu Cầu,flowers,35.43,,,,
DUPLICATE:overture:2e33d033-df00-4c14-8376-0395da1679db:overture:c2d96ecd-7fdb-47ea-9bca-55fdb34cd9ef,SOURCE_DUPLICATE,SOURCE_DUPLICATE,0.98,EVIDENCE_SUPPORTED,DUPLICATE_SAME_PLACE,EXACT_PHONE_LINKAGE,"[""phone=+84964757597""]",STAGE4I_STRUCTURED_EVIDENCE_V1,overture,overture:2e33d033-df00-4c14-8376-0395da1679db,Safe Care Sc-1000 Gemtek/ Mỹ,biotechnology,overture:c2d96ecd-7fdb-47ea-9bca-55fdb34cd9ef,Nước rửa chén sinh học gemlee,biotechnology,52.91,,,,
DUPLICATE:overture:2efa5a45-1cb9-444e-9604-9f0acf7d8c65:overture:66bd4824-d8b6-4630-b3e0-e23254532b3b,SOURCE_DUPLICATE,SOURCE_DUPLICATE,0.98,EVIDENCE_SUPPORTED,DUPLICATE_SAME_PLACE,EXACT_PHONE_LINKAGE,"[""phone=+84914700220""]",STAGE4I_STRUCTURED_EVIDENCE_V1,overture,overture:2efa5a45-1cb9-444e-9604-9f0acf7d8c65,Little DaNang - Nướng Thảo Mộc,bar,overture:66bd4824-d8b6-4630-b3e0-e23254532b3b,FOR YOU SteakHouse,steakhouse,27.82,,,,
DUPLICATE:overture:2f430d5e-1f8f-4b17-990e-8e39493bd1a3:overture:57a485ed-20c0-448a-91f3-393958ddbc4e,SOURCE_DUPLICATE,SOURCE_DUPLICATE,0.98,EVIDENCE_SUPPORTED,DUPLICATE_SAME_PLACE,EXACT_PHONE_LINKAGE,"[""phone=+84905832983""]",STAGE4I_STRUCTURED_EVIDENCE_V1,overture,overture:2f430d5e-1f8f-4b17-990e-8e39493bd1a3,Toong JSC,pool,overture:57a485ed-20c0-448a-91f3-393958ddbc4e,NPP Máy Tạo Nước Pi Biontech Miền Trung,health,0,,,,
DUPLICATE:overture:3183a1f2-16ad-4687-b1a9-bcd3f713eb46:overture:32b9bd28-39c1-4f35-a199-925fa9caa9e2,SOURCE_DUPLICATE,SOURCE_DUPLICATE,0.98,EVIDENCE_SUPPORTED,DUPLICATE_SAME_PLACE,EXACT_PHONE_LINKAGE,"[""phone=+84935300619""]",STAGE4I_STRUCTURED_EVIDENCE_V1,overture,overture:3183a1f2-16ad-4687-b1a9-bcd3f713eb46,Bể bơi Nhân Thương,swimming,overture:32b9bd28-39c1-4f35-a199-925fa9caa9e2,Dạy bơi chất lương Đà Nẵng,swimming,2.69,,,,
DUPLICATE:overture:3513d16e-d378-4ec5-a344-5e795ad6aac9:overture:c4d86407-6426-4078-9233-455518585943,SOURCE_DUPLICATE,SOURCE_DUPLICATE,0.98,EVIDENCE_SUPPORTED,DUPLICATE_SAME_PLACE,EXACT_PHONE_LINKAGE,"[""phone=+84935678450""]",STAGE4I_STRUCTURED_EVIDENCE_V1,overture,overture:3513d16e-d378-4ec5-a344-5e795ad6aac9,MÁY TÍNh TiỀN,computer,overture:c4d86407-6426-4078-9233-455518585943,Lắp Camera Giá Rẻ Tại Đà Nẵng,unknown,0,,,,
DUPLICATE:overture:379c0294-5a94-4a8d-958f-9aa8b7a08b5a:overture:e826d241-4dcd-4d3a-87d1-1268a1e58ea9,SOURCE_DUPLICATE,SOURCE_DUPLICATE,0.98,EVIDENCE_SUPPORTED,DUPLICATE_SAME_PLACE,EXACT_PHONE_LINKAGE,"[""phone=+84905601691""]",STAGE4I_STRUCTURED_EVIDENCE_V1,overture,overture:379c0294-5a94-4a8d-958f-9aa8b7a08b5a,Hocthietkedanang,unknown,overture:e826d241-4dcd-4d3a-87d1-1268a1e58ea9,Áo thun theo yêu cầu ĐN,clothing,46.17,,,,
DUPLICATE:overture:39678244-d610-4b19-b751-758d2995c5e8:overture:e425eed2-357c-47c3-9512-2eade85df95a,SOURCE_DUPLICATE,SOURCE_DUPLICATE,0.98,EVIDENCE_SUPPORTED,DUPLICATE_SAME_PLACE,EXACT_PHONE_LINKAGE,"[""phone=+84922221232""]",STAGE4I_STRUCTURED_EVIDENCE_V1,overture,overture:39678244-d610-4b19-b751-758d2995c5e8,MrBee - Setup & Đào Tạo Pha Chế,bar,overture:e425eed2-357c-47c3-9512-2eade85df95a,Mister ßee,unknown,0,,,,
DUPLICATE:overture:44821159-2631-446f-abc5-7410090bfb55:overture:e82a7d4f-7394-4f1a-a496-b505bc0f38c8,SOURCE_DUPLICATE,SOURCE_DUPLICATE,0.98,EVIDENCE_SUPPORTED,DUPLICATE_SAME_PLACE,EXACT_PHONE_LINKAGE,"[""phone=+84974480518""]",STAGE4I_STRUCTURED_EVIDENCE_V1,overture,overture:44821159-2631-446f-abc5-7410090bfb55,Giường Tầng Đà Nẵng,unknown,overture:e82a7d4f-7394-4f1a-a496-b505bc0f38c8,Làm Bảng Hiệu,event,145.66,,,,
DUPLICATE:overture:44916785-93ba-44e9-bb76-69923041100e:overture:44db05a7-7d0f-4dc5-8b83-cb218228b532,SOURCE_DUPLICATE,SOURCE_DUPLICATE,0.98,EVIDENCE_SUPPORTED,DUPLICATE_SAME_PLACE,EXACT_PHONE_LINKAGE,"[""phone=+84967971565""]",STAGE4I_STRUCTURED_EVIDENCE_V1,overture,overture:44916785-93ba-44e9-bb76-69923041100e,Our june Wedding,professional,overture:44db05a7-7d0f-4dc5-8b83-cb218228b532,V.Studio,professional,61.23,,,,
DUPLICATE:overture:4566bd13-38a9-4a90-a278-876c18972f0e:overture:ad9dc3d6-594b-420a-98ef-d3fb55e3717d,SOURCE_DUPLICATE,SOURCE_DUPLICATE,0.98,EVIDENCE_SUPPORTED,DUPLICATE_SAME_PLACE,EXACT_PHONE_LINKAGE,"[""phone=+842363522222""]",STAGE4I_STRUCTURED_EVIDENCE_V1,overture,overture:4566bd13-38a9-4a90-a278-876c18972f0e,Traditional Coffee & Tea Lê Lợi,cafe,overture:ad9dc3d6-594b-420a-98ef-d3fb55e3717d,Dana Pearl Hotel,accommodation,31.41,,,,
DUPLICATE:overture:466a375b-9b9d-4dc2-b79f-0c88559865eb:overture:f3775fbc-8544-47ae-aa13-1809e99b2a3f,SOURCE_DUPLICATE,SOURCE_DUPLICATE,0.98,EVIDENCE_SUPPORTED,DUPLICATE_SAME_PLACE,EXACT_PHONE_LINKAGE,"[""phone=+84981461678""]",STAGE4I_STRUCTURED_EVIDENCE_V1,overture,overture:466a375b-9b9d-4dc2-b79f-0c88559865eb,Shop Patin CoCo - FPT Đà Nẵng,shopping,overture:f3775fbc-8544-47ae-aa13-1809e99b2a3f,Ván Trượt Tại Đà Nẵng,active,3.27,,,,
DUPLICATE:overture:4727e632-1222-47f7-bd37-694c4b3b8c1f:overture:c4ab6907-fef9-4736-a4ff-066da58ab312,SOURCE_DUPLICATE,SOURCE_DUPLICATE,0.98,EVIDENCE_SUPPORTED,DUPLICATE_SAME_PLACE,EXACT_PHONE_LINKAGE,"[""phone=+84934955759""]",STAGE4I_STRUCTURED_EVIDENCE_V1,overture,overture:4727e632-1222-47f7-bd37-694c4b3b8c1f,Make Up Phan,makeup,overture:c4ab6907-fef9-4736-a4ff-066da58ab312,Tiệm Áo Cưới Mai Phan,bridal,8.09,,,,
DUPLICATE:overture:4865e1a2-4fe6-4a86-8d83-d330e0a7f2d2:overture:5227879a-a766-4758-8ce4-db16779d521e,SOURCE_DUPLICATE,SOURCE_DUPLICATE,0.98,EVIDENCE_SUPPORTED,DUPLICATE_SAME_PLACE,EXACT_PHONE_LINKAGE,"[""phone=+84902936377""]",STAGE4I_STRUCTURED_EVIDENCE_V1,overture,overture:4865e1a2-4fe6-4a86-8d83-d330e0a7f2d2,Sơn hiệu ứng bê tông Miền Trung,professional,overture:5227879a-a766-4758-8ce4-db16779d521e,"Chống thấm INTOC Đà Nẵng, Quảng Nam",building,0,,,,
DUPLICATE:overture:4bf51895-0d05-449c-bd71-4090ac181c92:overture:8c1636d9-e65f-42e6-8591-0a76ac04aba7,SOURCE_DUPLICATE,SOURCE_DUPLICATE,0.98,EVIDENCE_SUPPORTED,DUPLICATE_SAME_PLACE,EXACT_PHONE_LINKAGE,"[""phone=+84931622626""]",STAGE4I_STRUCTURED_EVIDENCE_V1,overture,overture:4bf51895-0d05-449c-bd71-4090ac181c92,Ava Center_Tiếng Anh Đà Nẵng,education,overture:8c1636d9-e65f-42e6-8591-0a76ac04aba7,Hoang Grammar,market,2.91,,,,
DUPLICATE:overture:4d39c232-a2c1-4141-8652-f0a43eac9845:overture:76a3bfee-338e-4e5b-a3a4-b92ec586d4dd,SOURCE_DUPLICATE,SOURCE_DUPLICATE,0.98,EVIDENCE_SUPPORTED,DUPLICATE_SAME_PLACE,EXACT_PHONE_LINKAGE,"[""phone=+84888476769""]",STAGE4I_STRUCTURED_EVIDENCE_V1,overture,overture:4d39c232-a2c1-4141-8652-f0a43eac9845,Charice Cosmetics,professional,overture:76a3bfee-338e-4e5b-a3a4-b92ec586d4dd,Cua Hang The Gioi My Pham 44,cosmetic,146.81,,,,
DUPLICATE:overture:4da26b96-cd37-4265-9d7a-80f43fefb83d:overture:6836ba44-e83d-4f7d-9ba8-534264abff4e,SOURCE_DUPLICATE,SOURCE_DUPLICATE,0.98,EVIDENCE_SUPPORTED,DUPLICATE_SAME_PLACE,EXACT_PHONE_LINKAGE,"[""phone=+84914106098""]",STAGE4I_STRUCTURED_EVIDENCE_V1,overture,overture:4da26b96-cd37-4265-9d7a-80f43fefb83d,Trầm hương Tâm Việt - 54-56 Đinh Đạt,real,overture:6836ba44-e83d-4f7d-9ba8-534264abff4e,"Phòng thờ Tâm Việt - 200 Nguyễn Hữu Thọ, TP Đà Nẵng",real,103.09,,,,
